0;37;5;26;0
1;30;28;26;0
2;9;33;26;0
3;23;24;26;0
4;20;26;26;0
5;4;36;26;0
6;15;23;26;0
7;18;8;26;0
8;32;34;26;0
9;39;12;26;0
10;12;19;26;0
11;15;36;26;0
12;37;8;26;0
13;35;28;26;0
14;10;17;26;0
15;31;17;26;0
16;38;28;26;0
17;40;9;26;0
18;40;37;26;0
19;14;23;26;0
20;9;20;26;0
21;30;34;26;0
22;28;19;26;0
23;24;36;26;0
24;10;28;26;0
25;29;38;26;0
26;33;16;26;0
27;14;18;26;0
28;31;34;26;0
29;31;1;26;0
30;38;36;26;0
31;15;3;26;0
32;35;28;26;0
33;39;27;26;0
34;23;9;26;0
35;8;35;26;0
36;20;17;26;0
37;4;33;26;0
38;29;21;26;0
39;9;18;26;0
40;24;40;26;0
41;19;22;26;0
42;29;34;26;0
43;24;23;26;0
44;15;22;26;0
45;19;7;26;0
46;7;13;26;0
47;25;13;26;0
48;5;28;26;0
49;39;40;26;0
50;21;37;26;0
51;14;1;26;0
52;20;35;26;0
53;18;17;26;0
54;12;22;26;0
55;30;11;26;0
56;25;13;26;0
57;17;39;26;0
58;17;33;26;0
59;15;2;26;0
60;4;16;26;0
61;13;1;26;0
62;30;2;26;0
63;29;8;26;0
64;33;31;26;0
65;28;2;26;0
66;22;10;26;0
67;37;27;26;0
68;26;18;26;0
69;2;34;26;0
70;17;8;26;0
71;11;33;26;0
72;33;9;26;0
73;22;35;26;0
74;36;26;26;0
75;37;13;26;0
76;14;38;26;0
77;37;5;26;0
78;25;13;26;0
79;11;19;26;0
80;7;10;26;0
81;25;22;26;0
82;34;28;26;0
83;29;16;26;0
84;16;31;26;0
85;13;39;26;0
86;31;21;26;0
87;26;37;26;0
88;6;20;26;0
89;8;22;26;0
90;20;34;26;0
91;12;7;26;0
92;35;16;26;0
93;29;25;26;0
94;13;32;26;0
95;3;14;26;0
96;7;24;26;0
97;28;7;26;0
98;24;30;26;0
99;40;5;26;0
100;40;24;26;1
101;13;6;26;1
102;36;8;26;1
103;40;25;26;1
104;23;16;26;1
105;17;24;26;1
106;36;28;26;1
107;31;17;26;1
108;37;29;26;1
109;11;7;26;1
110;17;9;26;1
111;7;38;26;1
112;19;9;26;1
113;38;32;26;1
114;5;5;26;1
115;14;39;26;1
116;34;14;26;1
117;12;28;26;1
118;19;36;26;1
119;27;17;26;1
120;34;26;26;1
121;26;22;26;1
122;12;31;26;1
123;37;34;26;1
124;19;14;26;1
125;22;38;26;1
126;23;4;26;1
127;24;32;26;1
128;18;15;26;1
129;28;28;26;1
130;10;9;26;1
131;20;18;26;1
132;2;18;26;1
133;30;23;26;1
134;17;3;26;1
135;38;1;26;1
136;2;34;26;1
137;14;31;26;1
138;24;25;26;1
139;27;28;26;1
140;12;5;26;1
141;14;31;26;1
142;23;16;26;1
143;17;31;26;1
144;31;21;26;1
145;11;5;26;1
146;9;39;26;1
147;8;26;26;1
148;7;8;26;1
149;20;34;26;1
150;2;15;26;1
151;18;16;26;1
152;16;22;26;1
153;36;29;26;1
154;31;33;26;1
155;8;34;26;1
156;28;40;26;1
157;16;6;26;1
158;36;29;26;1
159;35;27;26;1
160;14;12;26;2
161;20;23;26;2
162;5;8;26;2
163;7;26;26;2
164;22;12;26;2
165;9;4;26;2
166;36;1;26;2
167;39;17;26;2
168;26;25;26;2
169;29;15;26;2
170;22;6;26;2
171;35;22;26;2
172;2;21;26;2
173;29;28;26;2
174;22;1;26;2
175;10;8;26;2
176;12;30;26;2
177;35;16;26;2
178;30;32;26;2
179;17;21;26;2
180;6;4;26;2
181;32;15;26;2
182;29;35;26;2
183;15;4;26;2
184;1;19;26;2
185;17;6;26;2
186;8;14;26;2
187;32;9;26;2
188;18;39;26;2
189;22;25;26;2
